CD,Name,Family,DBH1,DBH2,Time
AGLAAS,Aglaia_aspera,Meliaceae,5.9,5.9,10.444
AGLACO,Aglaia_cordata,Meliaceae,11.9,12.3,11.088
AGLAE1,Aglaia_exstipulata,Meliaceae,3.6,3.6,11.074
AGLAFO,Aglaia_forbesii,Meliaceae,2,2,10.216
AGLAGL,Aglaia_glabriflora,Meliaceae,2.3,2.4,10.529
AGLAGR,Aglaia_grandis,Meliaceae,4,3.7,10.29
AGLAO2,Aglaia_lawii,Meliaceae,2.1,2.5,10.06
AGLAOD,Aglaia_odoratissima,Meliaceae,3.1,3.5,10.101
APH1SU,Aphanamixis_sumatrana,Meliaceae,4.8,5,10.205
CHISER,Chisocheton_erythrocarpus,Meliaceae,3.6,3.5,10.096
CHISTO,Chisocheton_tomentosus,Meliaceae,20,21.3,10.31
DYSOAL,Dysoxylum_alliaceum,Meliaceae,2.6,2.7,10.263
LANSDO,Lansium_domesticum,Meliaceae,6.2,6.9,10.515
REINCI,Reinwardtiodendron_cinereum,Meliaceae,3.6,3.8,10.463
SANDKO,Sandoricum_koetjape,Meliaceae,2.4,2.7,10.441
WALSCH,Pseudoclausena_chrysogyne,Meliaceae,2,2,10.274
WALSPI,Walsura_pinnata,Meliaceae,2,3,10.425
MEMEAM,Memecylon_amplexicaule,Memecylaceae,18.6,19.7,10.148
MEMECA,Memecylon_cantleyi,Memecylaceae,3.8,4.1,10.195
MEMEEX,Memecylon_excelsum,Memecylaceae,2.6,2.6,10.279
MEMELI,Memecylon_lilacinum,Memecylaceae,7.9,8.7,10.433
MEMEME,Memecylon_megacarpum,Memecylaceae,8,9.5,10.488
MEMEMI,Memecylon_minutiflorum,Memecylaceae,6.8,7.3,10.189
MEMEO1,Memecylon_oligoneurum,Memecylaceae,17,-0.1,10.26
MEMEO2,Memecylon_oleifolium,Memecylaceae,4,-0.1,10.104
MEMEPU,Memecylon_pubescens,Memecylaceae,3.6,-0.1,10.329
ARTODA,Artocarpus_dadah,Moraceae,2.2,-0.1,10.23
ARTOIS,Artocarpus_integer,Moraceae,7,-0.1,10.153
ARTOLO,Artocarpus_lowii,Moraceae,7.1,-0.1,10.329
ARTOMA,Artocarpus_maingayi,Moraceae,3.2,-0.1,10.178
ARTONG,Artocarpus_nitidus,Moraceae,4.4,-0.1,10.411
ARTORI,Artocarpus_rigidus,Moraceae,8.9,-0.1,10.271
ARTOSC,Artocarpus_scortechinii,Moraceae,3.5,-0.1,10.112
GYMNFO,Gymnacranthera_forbesii,Myristicaceae,2.8,-0.1,10.586
HORSBR,Horsfieldia_brachiata,Myristicaceae,2.5,-0.1,10.515
HORSPO,Horsfieldia_polyspherula,Myristicaceae,3.6,-0.1,10.263
HORSS1,Horsfieldia_sucosa,Myristicaceae,7.5,-0.1,10.2
HORSS2,Horsfieldia_superba,Myristicaceae,2.6,-0.1,10.266
KNEMCU,Knema_curtisii,Myristicaceae,2,-0.1,10.351
KNEMFU,Knema_furfuracea,Myristicaceae,2.3,-0.1,10.09
KNEMHO,Knema_hookeriana,Myristicaceae,3,-0.1,10.09
KNEMLA,Knema_laurina,Myristicaceae,2.2,-0.1,10.411
KNEMPA,Knema_patentinervia,Myristicaceae,4,-0.1,11.027
KNEMSC,Knema_scortechinii,Myristicaceae,7.6,-0.1,10.052
KNEMST,Knema_stenophylla,Myristicaceae,5,-0.1,10.438
MYRICI,Myristica_cinnamomea,Myristicaceae,2.1,-0.1,10.438
MYRIM1,Myristica_maingayi,Myristicaceae,4.6,-0.1,10.532
ARDICR,Ardisia_crassa,Myrsinaceae,5.6,-0.1,10.279
ARDIKU,Ardisia_kunstleri,Myrsinaceae,3.5,-0.1,10.521
ARDIPA,Ardisia_pachysandra,Myrsinaceae,5.9,-0.1,10.11
EUGEC1,Syzygium_cerasiformis,Myrtaceae,2.9,-0.1,10.523
EUGECH,Syzygium_chlorantha,Myrtaceae,11.2,-0.1,10.564
EUGECL,Syzygium_claviflora,Myrtaceae,2.7,-0.1,10.43
EUGECU,Syzygium_cumingiana,Myrtaceae,5.6,-0.1,10.422
EUGEDE,Syzygium_densiflora,Myrtaceae,2,-0.1,10.29
